t, ax, ay, alpha, w1, w2, w3, u1, u2, u3, vbx_sp, vby_sp, wb_sp
1.4700, 0.0000, 0.0000, 0.0000, -28.5599, 14.2800, 0.0000, -15.6958, 33.9551, -15.2556, 0.3500, 0.0000, 0.0000
1.4800, 0.0000, 0.0000, 0.0000, -14.2800, 35.6998, -7.1397, -16.3379, 32.7304, -17.6319, 0.3500, 0.0000, 0.0000
1.4900, 0.0000, 0.0000, 0.0000, -19.0400, 7.1400, -7.1402, -16.6853, 33.2924, -15.8561, 0.3500, 0.0000, 0.0000
1.5000, 0.0000, 0.0000, 0.0000, -2.3799, 19.0400, -2.3799, -17.3362, 32.9293, -14.0387, 0.3500, 0.0000, 0.0000
1.5100, 0.0000, 0.0000, 0.0000, -2.3800, 19.0399, -2.3799, -16.6819, 31.3957, -15.9458, 0.3500, 0.0000, 0.0000
1.5200, 0.0000, 0.0000, 0.0000, 0.0000, 4.7600, 7.1397, -17.3583, 31.4887, -18.2414, 0.3500, 0.0000, 0.0000
1.5300, 0.0000, 0.0000, 0.0000, 2.3800, 4.7600, -7.1397, -16.9134, 31.8188, -15.1055, 0.3500, 0.0000, 0.0000
1.5400, 0.0000, 0.0000, 0.0000, -23.8000, 7.1400, -7.1402, -14.6466, 31.2374, -15.6468, 0.3500, 0.0000, 0.0000
1.5500, 0.0000, 0.0000, 0.0000, 0.0000, 7.1400, -11.8999, -16.1759, 31.1449, -17.5658, 0.3500, 0.0000, 0.0000
1.5600, 0.0000, 0.0000, 0.0000, 0.0000, 16.6600, 0.0000, -16.8955, 30.5054, -16.8308, 0.3500, 0.0000, 0.0000
1.5700, 0.0000, 0.0000, 0.0000, -2.3800, 0.0000, 0.0000, -17.9405, 31.3098, -16.0036, 0.3500, 0.0000, 0.0000
1.5800, 0.0000, 0.0000, 0.0000, -4.7600, 23.7999, -4.7603, -17.5698, 32.8120, -16.4480, 0.3500, 0.0000, 0.0000
1.5900, 0.0000, 0.0000, 0.0000, -7.1400, 33.3200, -16.6597, -17.1701, 33.0473, -17.2932, 0.3500, 0.0000, 0.0000
1.6000, 0.0000, 0.0000, 0.0000, -23.7999, 14.2803, -9.5201, -16.0847, 32.0658, -16.1434, 0.3500, 0.0000, 0.0000
1.6100, 0.0000, 0.0000, 0.0000, 0.0000, 26.1803, -4.7598, -15.3107, 29.8435, -16.3385, 0.3500, 0.0000, 0.0000
1.6200, 0.0000, 0.0000, 0.0000, 2.3800, 0.0000, 4.7603, -16.4058, 30.8139, -18.1811, 0.3500, 0.0000, 0.0000
1.6300, 0.0000, 0.0000, 0.0000, -7.1399, 9.5201, -16.6597, -16.1547, 32.3197, -17.7136, 0.3500, 0.0000, 0.0000
1.6400, 0.0000, 0.0000, 0.0000, 9.5199, 9.5201, -4.7603, -17.0768, 31.6841, -16.1728, 0.3500, 0.0000, 0.0000
1.6500, 0.0000, 0.0000, 0.0000, -4.7599, 7.1402, 7.1402, -17.2728, 31.9306, -16.6269, 0.3500, 0.0000, 0.0000
1.6600, 0.0000, 0.0000, 0.0000, -7.1399, 9.5196, -7.1402, -17.0233, 34.0502, -17.0195, 0.3500, 0.0000, 0.0000
1.6700, 0.0000, 0.0000, 0.0000, 14.2798, 9.5201, -2.3804, -16.7087, 34.4863, -17.3844, 0.3500, 0.0000, 0.0000
1.6800, 0.0000, 0.0000, 0.0000, 14.2798, 7.1397, -11.8999, -16.6999, 35.0295, -16.7795, 0.3500, 0.0000, 0.0000
1.6900, 0.0000, 0.0000, 0.0000, -2.3799, 19.0401, -7.1397, -16.7093, 34.9622, -17.2484, 0.3500, 0.0000, 0.0000
1.7000, 0.0000, 0.0000, 0.0000, 16.6600, 4.7598, -4.7603, -17.9000, 36.2399, -17.3904, 0.3500, 0.0000, 0.0000
1.7100, 0.0000, 0.0000, 0.0000, -14.2798, 16.6602, 0.0000, -17.5631, 36.4298, -17.7355, 0.3500, 0.0000, 0.0000
1.7200, 0.0000, 0.0000, 0.0000, 4.7600, 4.7598, -7.1402, -18.7258, 37.2925, -16.8385, 0.3500, 0.0000, 0.0000
1.7300, 0.0000, 0.0000, 0.0000, -16.6600, 26.1798, -2.3799, -17.4879, 36.6833, -17.6101, 0.3500, 0.0000, 0.0000
1.7400, 0.0000, 0.0000, 0.0000, -9.5198, 21.4200, -4.7603, -15.5197, 36.3135, -16.6727, 0.3500, 0.0000, 0.0000
1.7500, 0.0000, 0.0000, 0.0000, -19.0399, 0.0000, -16.6597, -16.0910, 37.0780, -16.6856, 0.3500, 0.0000, 0.0000
1.7600, 0.0000, 0.0000, 0.0000, -9.5201, 4.7598, -19.0401, -16.5852, 36.6885, -16.3642, 0.3500, 0.0000, 0.0000
1.7700, 0.0000, 0.0000, 0.0000, -14.2801, -2.3799, -4.7598, -16.4653, 34.2881, -16.7016, 0.3500, 0.0000, 0.0000
1.7800, 0.0000, 0.0000, 0.0000, 14.2798, 4.7598, 0.0000, -17.4643, 35.0182, -16.6890, 0.3500, 0.0000, 0.0000
1.7900, 0.0000, 0.0000, 0.0000, 0.0000, 9.5201, 0.0000, -17.5492, 35.1746, -16.2562, 0.3500, 0.0000, 0.0000
1.8000, 0.0000, 0.0000, 0.0000, 0.0000, 2.3799, 0.0000, -15.8701, 32.2500, -16.5435, 0.3500, 0.0000, 0.0000
1.8100, 0.0000, 0.0000, 0.0000, -7.1399, 9.5198, -9.5196, -16.4704, 32.1112, -15.7639, 0.3500, 0.0000, 0.0000
1.8200, 0.0000, 0.0000, 0.0000, -11.8999, 7.1399, -2.3799, -15.0889, 32.1901, -15.7593, 0.3500, 0.0000, 0.0000
1.8300, 0.0000, 0.0000, 0.0000, -4.7600, 14.2801, 4.7603, -16.7369, 31.2607, -16.4210, 0.3500, 0.0000, 0.0000
1.8400, 0.0000, 0.0000, 0.0000, -4.7600, 7.1399, -2.3799, -15.9750, 29.2808, -16.1064, 0.3500, 0.0000, 0.0000
1.8500, 0.0000, 0.0000, 0.0000, -2.3799, 4.7600, 2.3799, -16.2485, 29.7097, -15.7073, 0.3500, 0.0000, 0.0000
1.8600, 0.0000, 0.0000, 0.0000, 4.7600, 7.1402, -9.5201, -16.3689, 30.1210, -15.1505, 0.3500, 0.0000, 0.0000
